"Nombre Tabla","Nombre Columna","Acepta Nulos","Tipo de Dato"
"actor","last_update","NO","timestamp without time zone"
"actor","actor_id","NO","integer"
"actor","last_name","NO","character varying"
"actor","first_name","NO","character varying"
"address","postal_code","YES","character varying"
"address","last_update","NO","timestamp without time zone"
"address","district","NO","character varying"
"address","address2","YES","character varying"
"address","address","NO","character varying"
"address","city_id","NO","smallint"
"address","address_id","NO","integer"
"address","phone","NO","character varying"
"category","name","NO","character varying"
"category","last_update","NO","timestamp without time zone"
"category","category_id","NO","integer"
"city","city_id","NO","integer"
"city","city","NO","character varying"
"city","last_update","NO","timestamp without time zone"
"city","country_id","NO","smallint"
"country","last_update","NO","timestamp without time zone"
"country","country","NO","character varying"
"country","country_id","NO","integer"
"customer","last_name","NO","character varying"
"customer","customer_id","NO","integer"
"customer","store_id","NO","smallint"
"customer","address_id","NO","smallint"
"customer","activebool","NO","boolean"
"customer","create_date","NO","date"
"customer","last_update","YES","timestamp without time zone"
"customer","active","YES","integer"
"customer","first_name","NO","character varying"
"customer","email","YES","character varying"
"film","rental_rate","NO","numeric"
"film","special_features","YES","ARRAY"
"film","language_id","NO","smallint"
"film","release_year","YES","integer"
"film","film_id","NO","integer"
"film","rental_duration","NO","smallint"
"film","length","YES","smallint"
"film","description","YES","text"
"film","replacement_cost","NO","numeric"
"film","rating","YES","USER-DEFINED"
"film","last_update","NO","timestamp without time zone"
"film","title","NO","character varying"
"film","fulltext","NO","tsvector"
"film_actor","actor_id","NO","smallint"
"film_actor","film_id","NO","smallint"
"film_actor","last_update","NO","timestamp without time zone"
"film_category","film_id","NO","smallint"
"film_category","category_id","NO","smallint"
"film_category","last_update","NO","timestamp without time zone"
"inventory","inventory_id","NO","integer"
"inventory","film_id","NO","smallint"
"inventory","store_id","NO","smallint"
"inventory","last_update","NO","timestamp without time zone"
"language","language_id","NO","integer"
"language","last_update","NO","timestamp without time zone"
"language","name","NO","character"
"payment","payment_id","NO","integer"
"payment","payment_date","NO","timestamp without time zone"
"payment","amount","NO","numeric"
"payment","rental_id","NO","integer"
"payment","staff_id","NO","smallint"
"payment","customer_id","NO","smallint"
"rental","inventory_id","NO","integer"
"rental","rental_id","NO","integer"
"rental","rental_date","NO","timestamp without time zone"
"rental","last_update","NO","timestamp without time zone"
"rental","staff_id","NO","smallint"
"rental","return_date","YES","timestamp without time zone"
"rental","customer_id","NO","smallint"
"staff","picture","YES","bytea"
"staff","last_name","NO","character varying"
"staff","active","NO","boolean"
"staff","staff_id","NO","integer"
"staff","last_update","NO","timestamp without time zone"
"staff","address_id","NO","smallint"
"staff","first_name","NO","character varying"
"staff","username","NO","character varying"
"staff","password","YES","character varying"
"staff","email","YES","character varying"
"staff","store_id","NO","smallint"
"store","last_update","NO","timestamp without time zone"
"store","address_id","NO","smallint"
"store","manager_staff_id","NO","smallint"
"store","store_id","NO","integer"
